,parent,daughter,loss,count
682,97.03,55.02,42.01,2
683,97.03,55.05,41.980000000000004,2
684,97.03,57.03,40.0,6
685,97.03,57.07,39.96,5
686,97.03,61.03,36.0,4
687,97.03,63.04,33.99,2
688,97.03,67.05,29.980000000000004,9
689,97.03,67.06,29.97,1
690,97.03,69.03,28.0,23
691,97.03,69.07,27.960000000000008,7
692,97.03,70.07,26.960000000000008,1
693,97.03,71.05,25.980000000000004,2
694,97.03,71.09,25.939999999999998,3
695,97.03,73.03,24.0,11
696,97.03,79.05,17.980000000000004,7
697,97.03,79.06,17.97,1
698,97.03,81.03,16.0,11
699,97.03,81.07,15.960000000000008,15
700,97.03,82.06,14.969999999999999,1
701,97.03,83.09,13.939999999999998,5
702,97.03,84.08,12.950000000000003,1
703,97.03,85.03,12.0,30
704,97.03,85.1,11.930000000000007,3
705,97.03,87.04,9.989999999999995,1
706,97.03,89.06,7.969999999999999,1
707,97.03,91.04,5.989999999999995,4
708,97.03,91.05,5.980000000000004,7
709,97.03,93.07,3.960000000000008,9
710,97.03,95.05,1.980000000000004,1
711,97.03,95.08,1.9500000000000028,13
712,97.03,95.09,1.9399999999999977,2
713,97.06,55.05,42.010000000000005,6
714,97.06,55.06,42.0,1
715,97.06,57.07,39.99,1
716,97.06,67.05,30.010000000000005,13
717,97.06,67.06,30.0,1
718,97.06,69.03,28.03,2
719,97.06,69.07,27.99000000000001,13
720,97.06,71.05,26.010000000000005,3
721,97.06,79.05,18.010000000000005,14
722,97.06,81.07,15.990000000000009,15
